facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,truck_t_since_last_LDAR,truck_surveys_conducted,attempted_today_truck?,surveys_done_this_year_truck,truck_missed_leaks,OGI_FU_t_since_last_LDAR,attempted_today_OGI_FU?,OGI_FU_surveys_conducted,OGI_FU_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00518,351,54.07,-115.64,1,4,2,120,5,30,120,3259.8237255552003,0,12,False,truck,2016-04-01 17:33:00,12,9,83,21,False,2,0,80,False,6,1,1,0.0,0.031326939880843584
ABRAND00594,601,52.95,-115.36,1,4,2,120,5,30,120,2715.2541503424004,1,15,False,truck,2015-07-01 17:09:00,14,9,83,21,False,2,0,355,False,9,1,0,0.002004008016032064,0.057112126539594875
ABRAND00906,601,52.85,-114.24,1,4,2,120,5,30,120,1444.2413141664001,0,7,False,truck,2015-04-02 23:33:00,14,12,83,21,False,2,0,445,False,4,0,0,0.004008016032064128,0.08099354510407361
ABRAND00777,311,52.4,-114.57,1,4,2,120,5,30,120,5724.4749959231995,3,20,False,truck,2015-09-29 23:48:00,15,11,83,21,False,2,0,265,False,9,0,0,0.006012024048096192,0.10448444680342699
ABRAND00120,601,54.94,-119.32,1,4,2,120,5,30,120,14441.895844473598,0,17,False,truck,2016-04-01 17:33:00,10,1,83,21,False,2,0,80,False,8,1,1,0.008016032064128256,0.12731052428799247
ABRAND00353,361,53.48,-116.14,1,4,2,120,5,30,120,2545.8405433056005,2,8,False,truck,2015-07-01 17:09:00,13,8,83,21,False,2,0,355,False,6,0,0,0.01002004008016032,0.148877186444851
ABRAND00572,601,53.21,-115.44,1,4,2,120,5,30,120,2416.3728595488,1,12,False,truck,2016-04-01 17:33:00,14,9,83,21,False,2,0,80,False,8,1,1,0.012024048096192385,0.16998779827177063
ABRAND00508,601,52.83,-115.7,1,4,2,120,5,30,120,5470.6363836768005,2,14,False,truck,2015-04-02 17:24:00,14,9,83,21,False,2,0,445,False,7,0,0,0.014028056112224449,0.19101558694995255
ABRAND00541,601,52.83,-115.59,1,4,2,120,5,30,120,3161.5673092992006,4,7,False,truck,2015-04-02 17:24:00,14,9,83,21,False,2,0,445,False,6,0,0,0.01603206412825651,0.21156290100345182
ABRAND00608,361,52.49,-115.3,1,4,2,120,5,30,120,14390.357611507203,0,18,False,truck,2016-04-01 17:33:00,15,9,83,21,False,2,0,80,False,10,0,0,0.018036072144288578,0.23103020973936184
ABRAND00596,311,53.1,-115.34,1,4,2,120,5,30,120,10239.851098540797,0,12,False,truck,2015-09-29 17:30:00,14,9,83,21,False,2,0,265,False,8,1,1,0.02004008016032064,0.25008179546605247
ABRAND00954,601,52.14,-114.13,1,4,2,120,5,30,120,6531.8068181664,1,9,False,truck,2016-01-02 17:15:00,16,12,83,21,False,2,0,170,False,6,0,0,0.022044088176352707,0.26826489836396744
ABRAND00891,351,52.65,-114.28,1,4,2,120,5,30,120,2709.9597613824,1,8,False,truck,2014-04-02 17:09:00,15,11,83,21,False,2,0,810,False,3,0,0,0.02404809619238477,0.28629512609804847
ABRAND00245,351,54.29,-118.1,1,4,2,120,5,30,120,15860.153237587201,0,13,False,truck,2016-04-01 18:00:00,11,4,83,21,False,2,0,80,False,8,0,0,0.026052104208416832,0.3038949073147942
ABRAND00801,621,52.48,-114.5,1,4,2,120,5,30,120,663.2525744064001,2,4,False,truck,2015-07-01 23:45:00,15,11,83,21,False,2,12,355,False,4,2,0,0.028056112224448898,0.31571192535784276
ABRAND00179,601,54.72,-118.9,1,4,2,120,5,30,120,5983.257459283201,1,12,False,truck,2016-01-02 17:15:00,11,2,83,21,False,2,0,170,False,7,0,0,0.03006012024048096,0.32717451118858387
ABRAND00142,601,55.08,-119.17,1,4,2,120,5,30,120,4422.3505341696,3,9,False,truck,2014-09-29 17:33:00,10,2,83,21,False,2,6,630,False,5,4,0,0.03206412825651302,0.33724551747440895
ABRAND00045,351,54.81,-119.75,1,4,2,120,5,30,120,6980.587588857602,1,13,False,truck,2016-01-02 17:15:00,10,0,83,21,False,2,0,170,False,7,0,0,0.03406813627254509,0.3465153456989073
ABRAND00771,311,52.25,-114.6,1,4,2,120,5,30,120,4971.939518505601,0,16,False,truck,2016-04-01 18:00:00,15,11,83,21,False,2,0,79,False,10,1,0,0.036072144288577156,0.3554077719238307
ABRAND00412,601,53.18,-115.96,1,4,2,120,5,30,120,8311.191107500801,0,16,False,truck,2016-04-01 18:00:00,14,8,83,21,False,2,0,80,False,7,0,4,0.03807615230460922,0.36390164395126434
ABRAND00256,601,53.5,-117.74,1,4,2,120,5,30,120,98609.78256563519,0,15,False,truck,2016-04-01 18:00:00,13,5,83,21,False,2,0,80,False,8,1,0,0.04008016032064128,0.3723663534036265
ABRAND00499,351,53.11,-115.72,1,4,2,120,5,30,120,5437.792591027201,0,14,False,truck,2015-07-02 17:41:00,14,9,82,21,False,2,0,354,False,7,0,0,0.04208416833667335,0.3807728482305913
ABRAND00476,351,53.02,-115.79,1,4,2,120,5,30,120,2229.665232816,0,9,False,truck,2016-04-02 17:36:00,14,8,82,21,False,2,0,79,False,5,0,0,0.04408817635270541,0.3874837283176495
ABRAND00566,311,53.16,-115.48,1,4,2,120,5,30,120,2458.4031984671997,2,12,False,truck,2015-04-03 17:29:00,14,9,82,21,False,2,0,444,False,8,0,0,0.04609218436873747,0.3941198437090554
ABRAND00574,351,52.87,-115.44,1,4,2,120,5,30,120,3012.922274198401,2,13,False,truck,2015-07-02 17:41:00,14,9,82,21,False,2,0,354,False,8,0,2,0.04809619238476954,0.399993319082298
ABRAND01153,601,54.87,-110.51,1,4,2,120,5,30,120,4441.464264009601,0,12,False,truck,2016-01-03 18:03:00,10,19,82,21,False,2,0,169,False,7,0,0,0.050100200400801605,0.4056626838112972
ABRAND00486,351,53.15,-115.76,1,4,2,120,5,30,120,3707.777934144,2,11,False,truck,2016-01-03 18:03:00,14,8,82,21,False,2,10,169,False,7,5,0,0.052104208416833664,0.41111241591485503
ABRAND00048,311,55.26,-119.71,1,4,2,120,5,30,120,32371.421996102403,0,20,False,truck,2016-04-02 17:36:00,9,1,82,21,False,2,0,79,False,10,1,0,0.05410821643286573,0.41635987606892527
ABRAND01078,601,50.2,-112.1,1,4,2,120,5,30,120,3047.345251056001,0,15,False,truck,2016-04-02 17:36:00,20,16,82,21,False,2,0,79,False,6,0,0,0.056112224448897796,0.42071251941011506
ABRAND00390,361,53.88,-116.01,1,4,2,120,5,30,120,1172.5055577792002,0,7,False,truck,2016-01-03 18:03:00,12,8,82,21,False,2,0,169,False,5,0,0,0.05811623246492986,0.4250613608912933
ABRAND00154,601,54.95,-119.11,1,4,2,120,5,30,120,4160.6382020544,2,13,False,truck,2015-09-30 17:14:00,10,2,82,21,False,2,0,264,False,6,0,1,0.06012024048096192,0.42920858646088
ABRAND01063,601,50.3,-112.77,1,4,2,120,5,30,120,2923.6582770624,2,16,False,truck,2016-01-03 17:15:00,19,14,82,21,False,2,0,169,False,6,0,3,0.06212424849699399,0.4333131661221232
ABRAND00634,621,53.33,-115.2,1,4,2,120,5,30,120,1921.9977406944001,2,9,False,truck,2016-01-03 17:15:00,13,10,82,21,False,2,0,169,False,6,0,0,0.06412825651302605,0.4372554210090468
ABRAND00053,601,54.78,-119.69,1,4,2,120,5,30,120,6043.2880298976015,1,13,False,truck,2016-04-02 17:34:00,10,1,82,21,False,2,4,79,False,7,4,0,0.06613226452905811,0.44105118674561067
ABRAND00610,361,52.43,-115.29,1,4,2,120,5,30,120,1375.7458780800002,0,9,False,truck,2016-04-02 17:34:00,15,9,82,21,False,2,0,79,False,4,0,0,0.06813627254509018,0.4448275562940186
ABRAND01007,361,53.01,-113.88,1,4,2,120,5,30,120,1490.0435081567998,1,9,False,truck,2015-10-01 19:23:00,14,12,82,21,False,2,0,263,False,4,0,0,0.07014028056112225,0.44859044925904384
ABRAND00571,311,52.85,-115.45,1,4,2,120,5,30,120,1459.2103000992004,1,9,False,truck,2015-07-03 17:34:00,14,9,82,21,False,2,0,353,False,5,0,0,0.07214428857715431,0.45235002385728684
ABRAND00873,351,52.81,-114.31,1,4,2,120,5,30,120,2595.1345824096,1,14,False,truck,2015-07-03 17:15:00,14,11,82,21,False,2,0,353,False,8,1,0,0.07414829659318638,0.45610185453108004
ABRAND00577,601,53.02,-115.43,1,4,2,120,5,30,120,6424.896543955199,0,9,False,truck,2016-04-02 17:34:00,14,9,82,21,False,2,0,79,False,7,0,0,0.07615230460921844,0.45984171391237927
ABRAND00430,601,53.05,-115.9,1,4,2,120,5,30,120,5845.443511334401,3,16,False,truck,2015-10-01 17:52:00,14,8,81,21,False,2,3,263,False,6,4,0,0.0781563126252505,0.46319392949605914
ABRAND00740,311,52.29,-114.75,1,4,2,120,5,30,120,4651.653836275201,4,9,False,truck,2015-01-04 17:14:00,15,10,81,21,False,2,0,533,False,4,0,0,0.08016032064128256,0.46652996526836044
ABRAND00755,621,52,-114.66,1,4,2,120,5,30,120,7175.3098230144005,2,17,False,truck,2016-04-03 17:03:00,16,11,81,21,False,2,0,78,False,6,2,3,0.08216432865731463,0.4696316583831834
ABRAND00235,601,57.13,-118.54,1,4,2,120,5,30,120,2944.1364428736006,0,8,False,truck,2016-01-04 17:39:00,6,3,81,21,False,2,0,168,False,7,0,0,0.0841683366733467,0.47261434439703015
ABRAND00362,361,53.89,-116.1,1,4,2,120,5,30,120,7153.527354508799,0,16,False,truck,2015-07-04 18:00:00,12,8,81,21,False,2,0,352,False,7,0,0,0.08617234468937876,0.4755763940501589
ABRAND00197,351,54.54,-118.78,1,4,2,120,5,30,120,1691.4125317248004,0,11,False,truck,2015-04-05 23:49:00,11,2,81,21,False,2,0,442,False,6,0,0,0.08817635270541083,0.47853143445742713
ABRAND00123,601,55.02,-119.3,1,4,2,120,5,30,120,2705.2977433536,4,13,False,truck,2014-10-02 23:24:00,10,1,81,21,False,2,0,627,False,6,0,0,0.09018036072144289,0.48141707887893254
ABRAND00335,351,53.25,-116.23,1,4,2,120,5,30,120,4705.1905368384005,0,9,False,truck,2016-04-03 17:03:00,13,8,81,21,False,2,0,78,False,6,0,0,0.09218436873747494,0.48428919908604
ABRAND00301,601,54.15,-116.92,1,4,2,120,5,30,120,9443.821205174401,1,16,False,truck,2016-04-03 17:03:00,12,6,81,21,False,2,0,78,False,9,0,0,0.09418837675350701,0.48714252252473966
ABRAND00138,601,55.35,-119.22,1,4,2,120,5,30,120,2050.5976449696,1,10,False,truck,2015-10-02 23:53:00,9,2,81,21,False,2,0,262,False,7,0,0,0.09619238476953908,0.48997280832381984
ABRAND00536,351,53.7,-115.6,1,4,2,120,5,30,120,1353.6695709504002,1,10,False,truck,2016-04-03 17:36:00,13,9,81,21,False,2,0,78,False,7,0,0,0.09819639278557114,0.4928026506277694
ABRAND00762,351,52.19,-114.64,1,4,2,120,5,30,120,8304.0305372928,0,11,False,truck,2015-10-02 23:53:00,16,11,81,21,False,2,0,262,False,6,0,0,0.10020040080160321,0.4956170778868116
ABRAND01015,342,55.51,-113.8,1,4,2,120,5,30,120,2737.522893168,1,11,False,truck,2016-01-04 17:18:00,9,12,81,21,False,2,0,168,False,7,0,0,0.10220440881763528,0.4984044504192444
ABRAND00299,311,53.85,-117.08,1,4,2,120,5,30,120,5415.503239296,0,18,False,truck,2014-07-04 17:33:00,12,6,81,21,False,2,0,717,False,7,0,0,0.10420841683366733,0.5011718206127036
ABRAND00824,361,52.1,-114.44,1,4,2,120,5,30,120,3779.2238537663998,0,13,False,truck,2016-04-03 17:36:00,16,11,81,21,False,2,0,78,False,10,0,0,0.1062124248496994,0.5039103647869037
ABRAND00747,311,52.21,-114.69,1,4,2,120,5,30,120,3096.2268423072,1,8,False,truck,2015-07-04 23:55:00,16,11,81,21,False,2,0,352,False,4,0,0,0.10821643286573146,0.5066307709138563
ABRAND01169,601,54.64,-110.27,1,4,2,120,5,30,120,10192.5091609056,0,13,False,truck,2016-04-03 17:36:00,11,19,81,21,False,2,0,78,False,9,0,0,0.11022044088176353,0.5093337777273663
ABRAND00398,351,53.64,-115.99,1,4,2,120,5,30,120,3377.8056133728,4,10,False,truck,2015-09-30 17:52:00,13,8,81,21,False,2,6,264,False,5,1,0,0.11222444889779559,0.5120113667562027
ABRAND00423,311,53.21,-115.92,1,4,2,120,5,30,120,3773.750733532801,0,14,False,truck,2015-10-03 17:02:00,14,8,80,21,False,2,0,261,False,6,0,0,0.11422845691382766,0.5146852177340476
ABRAND00472,351,53.69,-115.81,1,4,2,120,5,30,120,4941.389808374401,0,15,False,truck,2015-07-05 17:27:00,13,8,80,21,False,2,0,351,False,8,0,1,0.11623246492985972,0.5173504274566231
ABRAND00436,311,53.02,-115.89,1,4,2,120,5,30,120,15697.063328457603,0,12,False,truck,2015-07-05 17:27:00,14,8,80,21,False,2,0,351,False,7,0,0,0.11823647294589178,0.5199375815321811
ABRAND00562,311,53.18,-115.5,1,4,2,120,5,30,120,2016.1231172928,2,5,False,truck,2015-01-06 17:57:00,14,9,80,21,False,2,0,531,False,3,0,0,0.12024048096192384,0.5225048550303357
ABRAND01031,601,50.43,-113.26,1,4,2,120,5,30,120,2942.2479273120002,1,11,False,truck,2016-01-05 17:13:00,19,13,80,21,False,2,0,167,False,8,0,0,0.12224448897795591,0.5250569359142211
ABRAND01092,601,55.24,-111.44,1,4,2,120,5,30,120,4362.0278161248,0,12,False,truck,2016-04-04 17:45:00,10,17,80,21,False,2,0,77,False,5,1,0,0.12424849699398798,0.5276037047113579
ABRAND01123,601,55.14,-110.82,1,4,2,120,5,30,120,91329.2396587296,1,12,False,truck,2016-04-04 17:45:00,10,18,80,21,False,2,0,77,False,8,0,0,0.12625250501002003,0.5301313559166648
ABRAND00132,351,55.27,-119.26,1,4,2,120,5,30,120,67306.497406992,0,15,False,truck,2016-04-04 17:45:00,9,1,80,21,False,2,0,77,False,8,0,0,0.1282565130260521,0.5326432739478417
ABRAND00428,311,52.7,-115.91,1,4,2,120,5,30,120,4586.440526409601,1,13,False,truck,2015-10-03 18:10:00,15,8,80,21,False,2,0,261,False,8,0,2,0.13026052104208416,0.5351447529129434
ABRAND00632,311,53,-115.21,1,4,2,120,5,30,120,5857.9259318784,1,11,False,truck,2015-07-05 17:27:00,14,10,80,21,False,2,0,351,False,7,0,0,0.13226452905811623,0.5376301927139511
ABRAND00986,362,52.76,-114.02,1,4,2,120,5,30,120,9759.8727664992,1,12,False,truck,2015-04-06 17:58:00,14,12,80,21,False,2,0,441,False,6,0,0,0.1342685370741483,0.5400996301897432
ABRAND00510,601,53.87,-115.69,1,4,2,120,5,30,120,4742.720429529601,2,18,False,truck,2015-10-03 18:10:00,12,9,80,21,False,2,0,261,False,7,0,2,0.13627254509018036,0.5425481149651002
ABRAND01050,601,56.17,-112.93,1,4,2,120,5,30,120,7602.627779279999,0,12,False,truck,2016-01-05 17:13:00,8,14,80,21,False,2,0,167,False,7,0,0,0.13827655310621242,0.5449882519126675
ABRAND00738,322,53.1,-114.76,1,4,2,120,5,30,120,3360.2143667040004,2,14,False,truck,2016-04-04 17:41:00,14,10,80,21,False,2,0,77,False,6,0,1,0.1402805611222445,0.5474276586794257
ABRAND00878,361,52.66,-114.31,1,4,2,120,5,30,120,4839.239526940801,0,16,False,truck,2016-04-04 17:41:00,15,11,80,21,False,2,0,77,False,11,0,0,0.14228456913827656,0.5498005020992607
