facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,aircraft_t_since_last_LDAR,aircraft_surveys_conducted,attempted_today_aircraft?,surveys_done_this_year_aircraft,aircraft_missed_leaks,OGI_FU_t_since_last_LDAR,attempted_today_OGI_FU?,OGI_FU_surveys_conducted,OGI_FU_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00296,322,53.99,-117.1,1,4,2,120,5,30,120,23473.655057088006,8,6,False,aircraft,2013-01-02 17:09:00,12,6,173,10,False,1,34,1265,False,1,0,0,0.0,0.014346882774940907
ABRAND00788,601,52.56,-114.54,1,4,2,120,5,30,120,12640.79618496,6,9,False,aircraft,2013-07-01 17:08:00,15,11,173,10,False,1,24,1085,False,1,0,0,0.002004008016032064,0.02802733341699232
ABRAND00354,311,53.02,-116.13,1,4,2,120,5,30,120,44593.1054560224,1,17,False,aircraft,2016-01-02 17:14:00,14,8,173,10,False,1,20,161,False,3,3,0,0.004008016032064128,0.04146890705022649
ABRAND00395,311,52.9,-116,1,4,2,120,5,30,120,22659.573332390402,2,18,False,aircraft,2015-07-01 23:44:00,14,8,173,10,False,1,29,346,False,3,0,1,0.006012024048096192,0.05470702286539873
ABRAND00763,351,53.11,-114.64,1,4,2,120,5,30,120,34048.6285356288,1,14,False,aircraft,2016-01-02 17:14:00,14,11,173,10,False,1,45,170,False,2,0,1,0.008016032064128256,0.06749962012616695
ABRAND00535,351,53.06,-115.6,1,4,2,120,5,30,120,15101.424699062398,6,5,False,aircraft,2012-01-02 17:11:00,14,9,173,10,False,1,24,1631,False,1,0,0,0.01002004008016032,0.08009874575815538
ABRAND00771,311,52.25,-114.6,1,4,2,120,5,30,120,10431.141721171203,9,5,False,aircraft,2012-06-30 17:10:00,15,11,173,10,False,1,23,1451,False,1,0,0,0.012024048096192385,0.09250255923823585
ABRAND00414,601,53.96,-115.95,1,4,2,120,5,30,120,19585.678864435202,8,0,False,,,12,8,173,10,False,1,54,2000,False,0,0,0,0.014028056112224449,0.10467371013565817
ABRAND00447,311,53,-115.87,1,4,2,120,5,30,120,30479.661157449602,7,10,False,aircraft,2014-01-02 17:01:00,14,8,173,10,False,1,20,896,False,2,0,0,0.01603206412825651,0.11662824351648994
ABRAND00368,311,52.98,-116.08,1,4,2,120,5,30,120,29769.982611292802,4,8,False,aircraft,2013-07-01 17:08:00,14,8,173,10,False,1,21,1085,False,2,0,0,0.018036072144288578,0.12731499195384077
