leak_ID,facility_ID,rate,status,tagged,days_active,component,date_began,date_found,date_repaired,repair_delay,found_by_company,found_by_crew,requires_shutdown,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00279_0000006664,ABRAND00279,868.6099584,active,True,72,unknown,2016-04-11 07:48:00,2016-06-09 15:46:00,,,OGI_FU,1.0,False,0.0,868.6099584,0.09052961524297469
ABRAND01146_0000006739,ABRAND01146,868.6099584,active,False,47,unknown,2016-05-06 07:48:00,,,,,,False,0.00038226299694189603,1737.2199168,0.18105923048594938
ABRAND00048_0000006519,ABRAND00048,127.76991356160002,active,True,118,unknown,2016-02-25 07:48:00,2016-06-14 10:09:00,,,OGI_FU,1.0,False,0.0007645259938837921,1864.9898303616,0.19437586472724497
ABRAND00014_0000006771,ABRAND00014,127.76991356160002,active,True,36,unknown,2016-05-17 07:48:00,2016-06-12 12:17:00,,,OGI_FU,1.0,False,0.0011467889908256881,1992.7597439232002,0.20769249896854058
ABRAND00420_0000006392,ABRAND00420,127.76991356160002,active,False,150,unknown,2016-01-24 07:48:00,,,,,,False,0.0015290519877675841,2120.5296574848003,0.2210091332098362
ABRAND00514_0000006383,ABRAND00514,115.79266560960002,active,False,153,unknown,2016-01-21 07:48:00,,,,,,False,0.00191131498470948,2236.3223230944004,0.2330774561253423
ABRAND00621_0000006707,ABRAND00621,115.79266560960002,active,False,58,unknown,2016-04-25 07:48:00,,,,,,False,0.0022935779816513763,2352.1149887040006,0.24514577904084842
ABRAND00175_0000006632,ABRAND00175,115.79266560960002,active,True,79,unknown,2016-04-04 07:48:00,2016-06-13 10:04:00,,,OGI_FU,1.0,False,0.002675840978593272,2467.9076543136007,0.2572141019563545
ABRAND00763_0000006630,ABRAND00763,115.79266560960002,active,False,80,unknown,2016-04-03 07:48:00,,,,,,False,0.0030581039755351682,2583.700319923201,0.2692824248718606
ABRAND00154_0000006357,ABRAND00154,62.3710463904,active,True,158,unknown,2016-01-16 17:31:00,2016-06-12 07:00:00,,,OGI_FU,1.0,False,0.0034403669724770644,2646.0713663136007,0.27578295687407883
ABRAND01166_0000006709,ABRAND01166,62.3710463904,active,True,55,unknown,2016-04-28 07:48:00,2016-06-06 16:46:00,,,OGI_FU,1.0,False,0.00382262996941896,2708.4424127040006,0.28228348887629706
ABRAND00624_0000006853,ABRAND00624,62.3710463904,active,False,9,unknown,2016-06-13 17:48:00,,,,,,False,0.004204892966360856,2770.8134590944005,0.28878402087851524
ABRAND00152_0000006348,ABRAND00152,62.3710463904,active,True,162,unknown,2016-01-12 17:32:00,2016-06-07 16:48:00,,,OGI_FU,1.0,False,0.0045871559633027525,2833.1845054848004,0.29528455288073346
ABRAND01166_0000006856,ABRAND01166,58.461686409600006,active,False,8,unknown,2016-06-14 17:33:00,,,,,,False,0.004969418960244648,2891.6461918944005,0.3013776374993642
ABRAND00490_0000006681,ABRAND00490,58.461686409600006,active,False,69,unknown,2016-04-14 07:48:00,,,,,,False,0.005351681957186544,2950.1078783040007,0.307470722117995
ABRAND00307_0000006727,ABRAND00307,58.461686409600006,active,False,51,unknown,2016-05-02 07:48:00,,,,,,False,0.005733944954128441,3008.569564713601,0.31356380673662576
