datetime,active_leaks,new_leaks,n_tags,cum_repaired_leaks,daily_emissions_kg,aircraft_prop_sites_avail,aircraft_cost,aircraft_eff_flags,aircraft_flags_redund1,aircraft_flags_redund2,aircraft_flags_redund3,aircraft_sites_visited,OGI_FU_prop_sites_avail,OGI_FU_cost,OGI_FU_redund_tags,OGI_FU_sites_visited
2011-01-01 00:00:00,218,5,0,0,2812.2887626848014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-02 07:00:00,223,9,0,0,2831.3647210368013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-03 07:00:00,232,4,0,0,2853.703921075202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-04 07:00:00,236,5,0,0,2900.473613884802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-05 07:00:00,241,3,0,0,2914.918484371202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-06 07:00:00,244,2,0,0,2917.4273483904017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-07 07:00:00,246,4,0,0,2920.4208011520013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-08 07:00:00,250,2,0,0,2933.3431692864015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-09 07:00:00,252,4,0,0,2935.9053036576015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-10 07:00:00,256,0,0,0,2945.201847753601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-11 07:00:00,256,5,0,0,2945.201847753601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-12 07:00:00,261,0,0,0,2959.016065372801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-13 07:00:00,261,2,0,0,2959.016065372801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-14 07:00:00,263,1,0,0,2960.660574201601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-15 07:00:00,264,3,0,0,2963.033684640001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-16 07:00:00,267,4,0,0,2966.7110606208007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-17 07:00:00,271,5,0,0,2980.537307020801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-18 07:00:00,276,4,0,0,2994.6110029344013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-19 07:00:00,280,5,0,0,3870.598052534401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-20 07:00:00,285,1,0,0,3876.5007565056017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-21 07:00:00,286,3,0,0,3877.7087917152016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-22 07:00:00,289,2,0,0,3879.8499180672015,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.0,0.0,0.0
2011-01-23 07:00:00,291,4,0,0,3882.0460332672014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-24 07:00:00,295,5,0,0,3887.3077740864014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-25 07:00:00,300,3,0,0,3897.7401804480014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-26 07:00:00,303,4,0,0,3900.1115724768015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-27 07:00:00,307,2,0,0,3918.713252457602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-28 07:00:00,309,3,0,0,3920.3319853152016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-29 07:00:00,312,1,0,0,3942.6729036768015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-30 07:00:00,313,2,0,0,3943.4788332864014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-31 07:00:00,315,4,0,0,3954.3941100672014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-01 07:00:00,319,1,0,0,3973.775943686401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-02 07:00:00,320,4,0,0,3974.581873296001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-03 07:00:00,324,3,0,0,3978.883028505601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-04 07:00:00,327,1,0,0,4849.094535667202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-05 07:00:00,328,2,0,0,4849.838602876802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-06 07:00:00,330,1,0,0,4867.826814086402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-07 07:00:00,331,5,0,0,4868.100039657602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-08 07:00:00,336,2,0,0,4883.665306809603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-09 07:00:00,338,4,0,0,4886.330545152003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-10 07:00:00,342,7,0,0,4894.400151619203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-11 07:00:00,349,2,0,0,4902.950909923203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-12 07:00:00,351,0,0,0,4907.422186732802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-13 07:00:00,351,3,0,0,4907.422186732802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-14 07:00:00,354,3,0,0,5024.811245961602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-15 07:00:00,357,4,0,0,5027.558967532802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-16 07:00:00,361,4,0,0,5159.671277961603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
