datetime,active_leaks,new_leaks,n_tags,cum_repaired_leaks,daily_emissions_kg,OGI_prop_sites_avail,OGI_cost,OGI_redund_tags,OGI_sites_visited
2011-01-01 00:00:00,253,1,0,0,1514.9053547424007,0.0,0.0,0.0,0.0
2011-01-02 23:00:00,254,4,0,0,1516.3385003136007,0.012,0.0,0.0,0.0
2011-01-03 23:00:00,258,5,0,0,1525.0147020000006,0.028,0.0,0.0,0.0
2011-01-04 23:00:00,263,2,0,0,1558.9359179424002,0.184,0.0,0.0,0.0
2011-01-05 23:00:00,265,2,0,0,1617.660519552,0.346,0.0,0.0,0.0
2011-01-06 23:00:00,267,4,0,0,1621.6317419328,0.452,0.0,0.0,0.0
2011-01-07 23:00:00,271,2,0,0,1635.4047179808001,0.822,0.0,0.0,0.0
2011-01-08 23:00:00,273,4,0,0,1640.3674571712002,0.108,0.0,0.0,0.0
2011-01-09 23:00:00,277,1,0,0,1649.1123948096001,0.0,0.0,0.0,0.0
2011-01-10 23:00:00,278,4,0,0,1650.588500448,0.0,0.0,0.0,0.0
2011-01-11 23:00:00,282,4,0,0,1661.9041644192002,0.0,0.0,0.0,0.0
2011-01-12 23:00:00,286,4,0,0,1695.4335852192005,0.0,0.0,0.0,0.0
2011-01-13 23:00:00,290,2,0,0,1698.3737675424004,0.0,0.0,0.0,0.0
2011-01-14 23:00:00,292,3,0,0,1708.0930379808005,0.0,0.0,0.0,0.0
2011-01-15 23:00:00,295,6,0,0,1720.8744972192005,0.0,0.0,0.0,0.0
2011-01-16 23:00:00,301,2,0,0,1743.0934092768005,0.0,0.0,0.0,0.0
2011-01-17 23:00:00,303,4,0,0,2613.0729324384006,0.0,0.0,0.0,0.0
2011-01-18 23:00:00,307,1,0,0,2623.8988524384004,0.328,0.0,0.0,0.0
2011-01-19 23:00:00,308,3,0,0,2625.1790604192,0.0,0.0,0.0,0.0
2011-01-20 23:00:00,311,7,0,0,2627.9285004000003,0.0,0.0,0.0,0.0
2011-01-21 23:00:00,318,2,0,0,2640.4556364863997,0.0,0.0,0.0,0.0
2011-01-22 23:00:00,320,4,0,0,2649.1782348863994,0.0,0.0,0.0,0.0
2011-01-23 23:00:00,324,5,0,0,2697.5443213151993,0.0,0.0,0.0,0.0
2011-01-24 23:00:00,329,2,0,0,2702.235553343999,0.0,0.0,0.0,0.0
2011-01-25 23:00:00,331,0,0,0,2761.7420269151994,0.0,0.0,0.0,0.0
2011-01-26 23:00:00,331,7,0,0,2761.7420269151994,0.002,0.0,0.0,0.0
2011-01-27 23:00:00,338,5,0,0,2785.2978541247994,0.0,0.0,0.0,0.0
2011-01-28 23:00:00,343,1,0,0,2822.9514348959992,0.0,0.0,0.0,0.0
2011-01-29 23:00:00,344,1,0,0,2825.364068495999,0.0,0.0,0.0,0.0
2011-01-30 23:00:00,345,4,0,0,2837.272580495999,0.204,0.0,0.0,0.0
2011-01-31 23:00:00,349,3,0,0,2844.489860553599,0.006,0.0,0.0,0.0
2011-02-01 23:00:00,352,3,0,0,2910.1258669535987,0.048,0.0,0.0,0.0
2011-02-02 23:00:00,355,2,0,0,2911.8030253055986,0.0,0.0,0.0,0.0
2011-02-03 23:00:00,357,4,0,0,2913.9458701535987,0.0,0.0,0.0,0.0
2011-02-04 23:00:00,361,5,0,0,2926.1911886207986,0.0,0.0,0.0,0.0
2011-02-05 23:00:00,366,0,0,0,2935.3468239071985,0.0,0.0,0.0,0.0
2011-02-06 23:00:00,366,5,0,0,2935.3468239071985,0.0,0.0,0.0,0.0
2011-02-07 23:00:00,371,5,0,0,2973.3629870303985,0.062,0.0,0.0,0.0
2011-02-08 23:00:00,376,4,0,0,2983.341735849598,0.0,0.0,0.0,0.0
2011-02-09 23:00:00,380,3,0,0,3048.140881439998,0.0,0.0,0.0,0.0
2011-02-10 23:00:00,383,2,0,0,3052.893975782398,0.0,0.0,0.0,0.0
2011-02-11 23:00:00,385,3,0,0,3072.3445454399975,0.0,0.0,0.0,0.0
2011-02-12 23:00:00,388,5,0,0,3090.645505468797,0.0,0.0,0.0,0.0
2011-02-13 23:00:00,393,3,0,0,3105.286273526397,0.0,0.0,0.0,0.0
2011-02-14 23:00:00,396,4,0,0,3116.9731119839967,0.0,0.0,0.0,0.0
2011-02-15 23:00:00,400,1,0,0,3130.287275260797,0.0,0.0,0.0,0.0
2011-02-16 23:00:00,401,4,0,0,3130.873249651197,0.0,0.0,0.0,0.0
2011-02-17 23:00:00,405,2,0,0,3137.528612879997,0.0,0.0,0.0,0.0
2011-02-18 23:00:00,407,2,0,0,3139.327777622397,0.0,0.0,0.0,0.0
2011-02-19 23:00:00,409,5,0,0,3150.700148764797,0.002,0.0,0.0,0.0
2011-02-20 23:00:00,414,0,0,0,3213.9080559647973,0.0,0.0,0.0,0.0
2011-02-21 23:00:00,414,3,0,0,3213.9080559647973,0.0,0.0,0.0,0.0
2011-02-22 23:00:00,417,1,0,0,3216.621409603197,0.0,0.0,0.0,0.0
2011-02-23 23:00:00,418,3,0,0,3217.709156831997,0.0,0.0,0.0,0.0
2011-02-24 23:00:00,421,5,0,0,3220.9569328319967,0.0,0.0,0.0,0.0
2011-02-25 23:00:00,426,3,0,0,3233.4222064319965,0.0,0.0,0.0,0.0
2011-02-26 23:00:00,429,4,0,0,3240.1256848703965,0.0,0.0,0.0,0.0
2011-02-27 23:00:00,433,2,0,0,3250.6302640031963,0.0,0.0,0.0,0.0
2011-02-28 23:00:00,435,4,0,0,3267.8400400703963,0.0,0.0,0.0,0.0
