,mean,median,std,min,max
median active leaks,651.6666666666666,651.0,5.033222956847166,647.0,657.0
median daily emissions,9.33099677763839,9.358983785548796,1.0467690579336588,8.270514857030387,10.363491690335989
cumulative repaired leaks,2824.6666666666665,2833.0,81.8189057207033,2739.0,2902.0
