,mean,median,std,min,max
median active leaks,2133.3333333333335,2144.0,23.86070689089771,2106.0,2150.0
median daily emissions,14.558713270099156,14.491353133439965,0.12053707500497027,14.48691279310074,14.697873883756767
cumulative repaired leaks,1379.3333333333333,1396.0,90.16281569102273,1282.0,1460.0
