,mean,median,std,min,max
median active leaks,417.0,416.0,4.58257569495584,413.0,422.0
median daily emissions,3.7852090384320003,3.809063866176,0.10001125640212233,3.675427335936,3.871135913184
cumulative repaired leaks,3093.0,3066.0,73.32803011127464,3037.0,3176.0
