facility_ID,facility_name,operator_code,operator,lat,lon,required_surveys_aircraft,required_surveys_OGI,required_surveys_M21,OGI_time,M21_time,aircraft_time,OGI_FU_time
ABBT0047422,Jordan Thorsby 10-36                ,A632,Petrus Resources Corp.                    ,53.2741013,-114.0110016,5,0,0,120,240,10,120
ABBT0047425,Samedan Manyberries 10-5            ,150,City Of Medicine Hat                      ,49.3576012,-110.5080032,5,0,0,120,240,10,120
ABBT0047436,Ipc Wildmere 8-2                    ,0R46,Husky Oil Operations Limited              ,53.2831993,-110.9100037,5,0,0,120,240,10,120
ABBT0047444,Queenstown 3-27-18-22w4             ,0HE9,Canadian Natural Resources Limited        ,50.544899,-112.9509964,5,0,0,120,240,10,120
ABBT0047457,Ogy Trout 02-1                      ,A6CG,Highwood Oil Company Ltd.                 ,56.7719994,-114.4899979,5,0,0,120,240,10,120
ABBT0047516,Chancellor Stewart 1-23             ,A663,Trident Exploration (Alberta) Corp.       ,51.7528,-113.8580017,5,0,0,120,240,10,120
ABBT0047544,Nugas Wintering Hills - New East Bty,0HE9,Canadian Natural Resources Limited        ,51.0505981,-112.1240005,5,0,0,120,240,10,120
ABBT0047550,Crestar Gilby 7-8 Compressor Station,A5D4,Cenovus Energy Inc.                       ,52.5140991,-114.3949966,5,0,0,120,240,10,120
ABBT0047577,Amoco Botha 7-16                    ,0HE9,Canadian Natural Resources Limited        ,57.5027008,-118.7419968,5,0,0,120,240,10,120
ABBT0047620,Brrc Leduc-Woodbend 7-23            ,A637,NEP Canada ULC                            ,53.2414017,-113.8389969,5,0,0,120,240,10,120
ABBT0047623,Cabre Knopcik 14-14                 ,A76W,Longshore Resources Ltd.                  ,55.328701,-119.4260025,5,0,0,120,240,10,120
ABBT0047644,Shanpet Lochend 10-28               ,0PP7,Shanpet Resources Ltd.                    ,51.3384018,-114.3619995,5,0,0,120,240,10,120
ABBT0047659,Morningside 2-3-42-28w4             ,A2N1,Just Freehold Energy Corp.                ,52.5817986,-113.947998,5,0,0,120,240,10,120
