facility_ID,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00254,53.41,-117.78,1,4,6,120,5,30,120
ABRAND00255,54.05,-117.75,1,4,6,120,5,30,120
ABRAND00256,53.5,-117.74,1,4,6,120,5,30,120
ABRAND00257,54.08,-117.71,1,4,6,120,5,30,120
ABRAND00258,54.02,-117.7,1,4,6,120,5,30,120
ABRAND00259,53.21,-117.7,3,4,6,120,5,30,120
ABRAND00260,54.14,-117.67,1,4,6,120,5,30,120
ABRAND00261,54.06,-117.65,1,4,6,120,5,30,120
ABRAND00262,54.02,-117.63,1,4,6,120,5,30,120
ABRAND00263,53.63,-117.63,1,4,6,120,5,30,120
ABRAND00264,53.99,-117.62,3,4,6,120,5,30,120
ABRAND00265,54.2,-117.62,1,4,6,120,5,30,120
ABRAND00266,54.09,-117.62,3,4,6,120,5,30,120
ABRAND00267,54.17,-117.59,1,4,6,120,5,30,120
ABRAND00268,54.26,-117.58,1,4,6,120,5,30,120
ABRAND00269,54.25,-117.58,3,4,6,120,5,30,120
ABRAND00270,54.15,-117.57,3,4,6,120,5,30,120
ABRAND00271,54.23,-117.57,3,4,6,120,5,30,120
ABRAND00272,53.98,-117.56,3,4,6,120,5,30,120
ABRAND00273,54.07,-117.55,3,4,6,120,5,30,120
ABRAND00274,54.85,-117.54,3,4,6,120,5,30,120
ABRAND00275,54.09,-117.53,1,4,6,120,5,30,120
ABRAND00276,54.23,-117.52,1,4,6,120,5,30,120
ABRAND00277,54,-117.52,3,4,6,120,5,30,120
ABRAND00278,54.15,-117.51,3,4,6,120,5,30,120
ABRAND00279,54.11,-117.5,3,4,6,120,5,30,120
ABRAND00280,54.22,-117.49,3,4,6,120,5,30,120
ABRAND00281,54.34,-117.45,1,4,6,120,5,30,120
ABRAND00282,53.96,-117.43,1,4,6,120,5,30,120
ABRAND00283,54.11,-117.41,1,4,6,120,5,30,120
ABRAND00284,54.16,-117.41,3,4,6,120,5,30,120
ABRAND00285,54,-117.38,3,4,6,120,5,30,120
ABRAND00286,54.08,-117.38,3,4,6,120,5,30,120
ABRAND00287,54.15,-117.37,1,4,6,120,5,30,120
ABRAND00288,54.65,-117.35,3,4,6,120,5,30,120
ABRAND00289,54.67,-117.3,3,4,6,120,5,30,120
ABRAND00290,54.07,-117.29,1,4,6,120,5,30,120
ABRAND00291,54.07,-117.25,1,4,6,120,5,30,120
ABRAND00292,53.97,-117.25,1,4,6,120,5,30,120
ABRAND00293,53.23,-117.25,3,4,6,120,5,30,120
ABRAND00294,54.04,-117.24,1,4,6,120,5,30,120
ABRAND00295,54.87,-117.13,1,4,6,120,5,30,120
ABRAND00296,53.99,-117.1,1,4,6,120,5,30,120
ABRAND00297,53.99,-117.09,1,4,6,120,5,30,120
ABRAND00298,54.12,-117.09,1,4,6,120,5,30,120
ABRAND00299,53.85,-117.08,1,4,6,120,5,30,120
ABRAND00300,53.17,-117.06,3,4,6,120,5,30,120
ABRAND00301,54.15,-116.92,3,4,6,120,5,30,120
ABRAND00302,54.24,-116.84,3,4,6,120,5,30,120
ABRAND00303,54.11,-116.81,3,4,6,120,5,30,120
ABRAND00304,54.19,-116.69,3,4,6,120,5,30,120
ABRAND00305,53.25,-116.61,3,4,6,120,5,30,120
ABRAND00306,54.19,-116.55,3,4,6,120,5,30,120
ABRAND00307,53.41,-116.53,1,4,6,120,5,30,120
ABRAND00308,53.24,-116.45,1,4,6,120,5,30,120
ABRAND00309,54.43,-116.41,1,4,6,120,5,30,120
ABRAND00310,53.2,-116.39,1,4,6,120,5,30,120
ABRAND00311,53.33,-116.39,3,4,6,120,5,30,120
ABRAND00312,53.14,-116.38,1,4,6,120,5,30,120
ABRAND00313,52.97,-116.34,1,4,6,120,5,30,120
ABRAND00314,54.26,-116.33,1,4,6,120,5,30,120
ABRAND00315,53.18,-116.33,1,4,6,120,5,30,120
ABRAND00316,53.42,-116.33,1,4,6,120,5,30,120
ABRAND00317,53.27,-116.32,1,4,6,120,5,30,120
ABRAND00318,53.33,-116.31,1,4,6,120,5,30,120
ABRAND00319,53.3,-116.3,1,4,6,120,5,30,120
ABRAND00320,53.06,-116.3,1,4,6,120,5,30,120
ABRAND00321,53.25,-116.3,1,4,6,120,5,30,120
ABRAND00322,54.39,-116.29,1,4,6,120,5,30,120
ABRAND00323,53.31,-116.29,3,4,6,120,5,30,120
ABRAND00324,53.16,-116.28,3,4,6,120,5,30,120
ABRAND00325,53.18,-116.28,1,4,6,120,5,30,120
ABRAND00326,53.45,-116.27,3,4,6,120,5,30,120
ABRAND00327,53.95,-116.26,1,4,6,120,5,30,120
ABRAND00328,53.16,-116.26,3,4,6,120,5,30,120
ABRAND00329,53.16,-116.26,1,4,6,120,5,30,120
ABRAND00330,53.2,-116.25,1,4,6,120,5,30,120
ABRAND00331,53.42,-116.24,3,4,6,120,5,30,120
ABRAND00332,53.12,-116.24,3,4,6,120,5,30,120
ABRAND00333,53.15,-116.24,1,4,6,120,5,30,120
ABRAND00334,53.21,-116.24,1,4,6,120,5,30,120
ABRAND00335,53.25,-116.23,1,4,6,120,5,30,120
ABRAND00336,53.19,-116.23,3,4,6,120,5,30,120
ABRAND00337,53.16,-116.21,3,4,6,120,5,30,120
ABRAND00338,53.05,-116.21,1,4,6,120,5,30,120
ABRAND00339,53.39,-116.21,1,4,6,120,5,30,120
ABRAND00340,53.43,-116.21,1,4,6,120,5,30,120
ABRAND00341,53.35,-116.21,1,4,6,120,5,30,120
ABRAND00342,53.19,-116.2,1,4,6,120,5,30,120
ABRAND00343,53.56,-116.19,3,4,6,120,5,30,120
ABRAND00344,53.02,-116.19,3,4,6,120,5,30,120
ABRAND00345,53.09,-116.19,1,4,6,120,5,30,120
ABRAND00346,53.11,-116.19,1,4,6,120,5,30,120
ABRAND00347,53.16,-116.19,3,4,6,120,5,30,120
ABRAND00348,53.08,-116.18,1,4,6,120,5,30,120
ABRAND00349,53.94,-116.17,1,4,6,120,5,30,120
ABRAND00350,53.2,-116.16,3,4,6,120,5,30,120
ABRAND00351,53.06,-116.15,1,4,6,120,5,30,120
ABRAND00352,53,-116.14,1,4,6,120,5,30,120
ABRAND00353,53.48,-116.14,1,4,6,120,5,30,120
ABRAND00354,53.02,-116.13,1,4,6,120,5,30,120
ABRAND00355,53.15,-116.13,3,4,6,120,5,30,120
ABRAND00356,53.25,-116.12,3,4,6,120,5,30,120
ABRAND00357,53.23,-116.12,1,4,6,120,5,30,120
ABRAND00358,53.02,-116.12,1,4,6,120,5,30,120
ABRAND00359,53.11,-116.12,3,4,6,120,5,30,120
ABRAND00360,52.99,-116.12,1,4,6,120,5,30,120
ABRAND00361,53.42,-116.11,1,4,6,120,5,30,120
ABRAND00362,53.89,-116.1,1,4,6,120,5,30,120
ABRAND00363,52.92,-116.09,1,4,6,120,5,30,120
ABRAND00364,53.14,-116.09,1,4,6,120,5,30,120
ABRAND00365,53.07,-116.08,1,4,6,120,5,30,120
ABRAND00366,53.19,-116.08,3,4,6,120,5,30,120
ABRAND00367,53.11,-116.08,1,4,6,120,5,30,120
ABRAND00368,52.98,-116.08,1,4,6,120,5,30,120
ABRAND00369,53.48,-116.08,1,4,6,120,5,30,120
ABRAND00370,53.08,-116.08,1,4,6,120,5,30,120
ABRAND00371,53.18,-116.08,1,4,6,120,5,30,120
ABRAND00372,52.82,-116.08,1,4,6,120,5,30,120
ABRAND00373,53.25,-116.07,3,4,6,120,5,30,120
ABRAND00374,52.92,-116.07,1,4,6,120,5,30,120
ABRAND00375,53.31,-116.05,3,4,6,120,5,30,120
ABRAND00376,53.21,-116.05,1,4,6,120,5,30,120
ABRAND00377,53.4,-116.04,1,4,6,120,5,30,120
ABRAND00378,53.08,-116.04,3,4,6,120,5,30,120
ABRAND00379,54.04,-116.04,1,4,6,120,5,30,120
ABRAND00380,53.34,-116.03,1,4,6,120,5,30,120
ABRAND00381,53.25,-116.03,3,4,6,120,5,30,120
ABRAND00382,52.99,-116.03,1,4,6,120,5,30,120
ABRAND00383,53.79,-116.03,3,4,6,120,5,30,120
ABRAND00384,53.28,-116.03,1,4,6,120,5,30,120
ABRAND00385,53.01,-116.02,3,4,6,120,5,30,120
ABRAND00386,54.16,-116.02,3,4,6,120,5,30,120
ABRAND00387,53.08,-116.02,1,4,6,120,5,30,120
ABRAND00388,53.83,-116.01,1,4,6,120,5,30,120
ABRAND00389,53.71,-116.01,3,4,6,120,5,30,120
ABRAND00390,53.88,-116.01,1,4,6,120,5,30,120
ABRAND00391,53.28,-116.01,1,4,6,120,5,30,120
ABRAND00392,53.1,-116.01,1,4,6,120,5,30,120
ABRAND00393,53,-116.01,1,4,6,120,5,30,120
ABRAND00394,52.88,-116,1,4,6,120,5,30,120
ABRAND00395,52.9,-116,1,4,6,120,5,30,120
ABRAND00396,53.19,-116,1,4,6,120,5,30,120
ABRAND00397,52.95,-115.99,1,4,6,120,5,30,120
ABRAND00398,53.64,-115.99,1,4,6,120,5,30,120
ABRAND00399,52.83,-115.99,1,4,6,120,5,30,120
ABRAND00400,52.77,-115.98,1,4,6,120,5,30,120
ABRAND00401,53.42,-115.98,1,4,6,120,5,30,120
ABRAND00402,53.13,-115.98,1,4,6,120,5,30,120
ABRAND00403,54.24,-115.98,1,4,6,120,5,30,120
ABRAND00404,53.12,-115.98,1,4,6,120,5,30,120
ABRAND00405,53.06,-115.97,3,4,6,120,5,30,120
ABRAND00406,53.09,-115.97,1,4,6,120,5,30,120
ABRAND00407,52.87,-115.97,1,4,6,120,5,30,120
ABRAND00408,53.95,-115.97,1,4,6,120,5,30,120
ABRAND00409,52.99,-115.96,1,4,6,120,5,30,120
ABRAND00410,53.04,-115.96,1,4,6,120,5,30,120
ABRAND00411,53.49,-115.96,3,4,6,120,5,30,120
ABRAND00412,53.18,-115.96,3,4,6,120,5,30,120
ABRAND00413,53.92,-115.95,1,4,6,120,5,30,120
ABRAND00414,53.96,-115.95,3,4,6,120,5,30,120
ABRAND00415,53.4,-115.94,1,4,6,120,5,30,120
ABRAND00416,53.75,-115.94,1,4,6,120,5,30,120
ABRAND00417,53.88,-115.94,1,4,6,120,5,30,120
ABRAND00418,52.81,-115.94,1,4,6,120,5,30,120
ABRAND00419,52.96,-115.92,1,4,6,120,5,30,120
ABRAND00420,52.87,-115.92,1,4,6,120,5,30,120
ABRAND00421,53.19,-115.92,1,4,6,120,5,30,120
ABRAND00422,53.14,-115.92,1,4,6,120,5,30,120
ABRAND00423,53.21,-115.92,1,4,6,120,5,30,120
ABRAND00424,53.82,-115.91,3,4,6,120,5,30,120
ABRAND00425,53.68,-115.91,1,4,6,120,5,30,120
ABRAND00426,53.07,-115.91,1,4,6,120,5,30,120
ABRAND00427,53.9,-115.91,1,4,6,120,5,30,120
ABRAND00428,52.7,-115.91,1,4,6,120,5,30,120
ABRAND00429,52.98,-115.91,1,4,6,120,5,30,120
ABRAND00430,53.05,-115.9,1,4,6,120,5,30,120
ABRAND00431,52.99,-115.9,1,4,6,120,5,30,120
ABRAND00432,53.8,-115.9,1,4,6,120,5,30,120
ABRAND00433,53.68,-115.9,1,4,6,120,5,30,120
ABRAND00434,53.24,-115.9,1,4,6,120,5,30,120
ABRAND00435,53.02,-115.9,1,4,6,120,5,30,120
ABRAND00436,53.02,-115.89,1,4,6,120,5,30,120
ABRAND00437,54.31,-115.89,1,4,6,120,5,30,120
ABRAND00438,53.31,-115.89,1,4,6,120,5,30,120
ABRAND00439,54.33,-115.89,3,4,6,120,5,30,120
ABRAND00440,53.45,-115.89,3,4,6,120,5,30,120
ABRAND00441,53.21,-115.89,1,4,6,120,5,30,120
