facility_ID,facility_name,operator_code,operator_name,subtype_code,subtype,license_number,EDCT_code,LDAR,EDCT_description,Licensee_code,operational_status,lat,lon,lat_adj,lon_adj,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABBT0150404,Wolf 14-31                          ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,F11990    ,10,A,Gas Plant <0.01     ,A5D4,Active,53.3721008,-116.0859985,53.42858011,-115.987591,3,4,6,120,5,30,120
ABBT0128905,Brcl Et Al 100 Brazr 9-4-48-14      ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0381813 ,140,A,Single Well 0.00    ,A5D4,Active,53.1142273,-115.9774094,53.13548679,-115.9874402,3,4,6,120,5,30,120
ABCS0013487,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F13487    ,340,A,Compressor Stn <1t/d,A5D4,Active,54.1203308,-115.7961884,54.24258328,-115.9866223,3,4,6,120,5,30,120
ABBT0092209,Brcl 102 Brazr 11-31-047-14w5       ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0349654 ,280,A,Single Well <0.01   ,A5D4,Active,53.1003036,-116.0414963,53.12166198,-115.9852138,3,4,6,120,5,30,120
ABCS0033534,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F33534    ,20,T,Gas Multi Bty <0.01 ,A5D4,Active,53.1017532,-115.952507,53.06720626,-115.9746318,3,4,6,120,5,30,120
ABCS0026249,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F26249    ,440,A,Compressor Stn >=1t/d,A5D4,Active,53.0631828,-115.9363403,53.09513388,-115.9742484,3,4,6,120,5,30,120
ABBT0090280,Brazeau 11-36-046-14w50 Swb         ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0341407 ,140,A,Single Well 0.00    ,A5D4,Active,53.0135689,-115.9044571,52.87871644,-115.9739514,3,4,6,120,5,30,120
ABBT0092087,Brcl Et Al Mcleod 13-14-56-15w5     ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0315150 ,140,A,Single Well 0.00    ,A5D4,Active,53.8431015,-116.1268616,53.95515869,-115.9717508,3,4,6,120,5,30,120
ABBT0094244,Brcl Dd Brazr 6-1-47-14             ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0350421 ,140,A,Single Well 0.00    ,A5D4,Active,53.0254097,-115.9188995,52.99910817,-115.9680822,3,4,6,120,5,30,120
ABBT1680130,Poco Brazeau River 06-33            ,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F10000    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,53.0086212,-115.9739227,53.04973943,-115.9660027,3,4,6,120,5,30,120
ABCS0035488,Burlington Resources Canada Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F35488    ,40,T,Compressor Stn <0.01,A5D4,Active,53.4502792,-116.0333328,53.49933685,-115.962725,3,4,6,120,5,30,120
ABCS0026041,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F26041    ,40,T,Compressor Stn <0.01,A5D4,Active,53.367218,-116.0268173,53.18169273,-115.9611022,3,4,6,120,5,30,120
ABBT0057606,Canrise Mcleod 5-21-57-14w5         ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,,,A,,,Active,53.9392967,-116.0297928,53.92726969,-115.9580794,3,4,6,120,5,30,120
