facility_ID,subtype_code,lat,lon,equipment_groups,,,,,
S-000317,1,39.9235924,-80.33739267,1,,,,,
S-000477,1,39.94951069,-80.05199227,1,,,,,
S-001638,1,39.838289,-80.050558,1,,,,,
S-000284,1,39.92263061,-80.269671,1,,,,,
S-000483,1,39.95040743,-80.08233561,1,,,,,
S-000025,1,40.16167194,-80.02118194,1,,,,,
S-000314,1,39.93575276,-80.30766651,1,,,,,
S-000319,1,39.9132017,-80.2441777,1,,,,,
S-001643,1,39.794925,-80.054401,1,,,,,
S-000291,1,39.97879841,-80.19627233,1,,,,,
S-000293,1,39.95861266,-80.2414049,1,,,,,
S-000313,1,39.9364556,-80.29486116,1,,,,,
S-000310,1,39.91041699,-80.27899465,1,,,,,
S-000425,1,39.79235277,-80.50299999,1,,,,,
S-000375,1,39.83661389,-80.27740279,1,,,,,
S-000403,1,39.81911972,-80.34320167,1,,,,,
S-000030,1,40.14756667,-80.11340279,1,,,,,
S-000324,1,39.92298055,-80.15883612,1,,,,,
S-000028,1,40.15602832,-80.0924064,1,,,,,
S-000325,1,39.91335556,-80.13417778,1,,,,,
S-000280,1,39.96804597,-80.11094716,1,,,,,
S-000363,1,40.16482448,-79.94473594,1,,,,,
S-001568,1,39.996831,-80.060122,1,,,,,
S-000353,1,40.14068855,-79.93998841,1,,,,,
S-000322,1,39.89596472,-80.1008711,1,,,,,
S-000470,1,39.96357717,-80.0176209,1,,,,,
S-000049,1,39.94481238,-80.2653372,1,,,,,
S-000276,1,39.97827542,-80.0699805,1,,,,,
S-000351,1,39.84602779,-80.40633333,1,,,,,
S-000323,1,39.89616944,-80.12485833,1,,,,,
S-000023,1,39.94732118,-80.22337721,1,,,,,
S-000040,1,40.08187583,-80.04402251,1,,,,,
S-000417,1,39.735045,-80.378447,1,,,,,
S-000481,1,39.98628449,-80.13738661,1,,,,,
S-001572,1,40.03949341,-80.0672992,1,,,,,
S-000316,1,39.93195548,-80.32899831,1,,,,,
S-000406,1,39.81536516,-80.40233927,1,,,,,
S-000488,1,39.98748995,-80.18657705,1,,,,,
S-000034,1,40.1262319,-80.04928494,1,,,,,
