facility_ID,subtype_code,lat,lon,OGI_required_surveys,OGI_required_surveys_AER,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00001,601,55.05,-119.99,3,3,4,6,120,5,30,120
ABRAND00002,601,54.74,-119.98,3,3,4,6,120,5,30,120
ABRAND00003,601,55.25,-119.96,3,3,4,6,120,5,30,120
ABRAND00004,601,55.32,-119.96,3,3,4,6,120,5,30,120
ABRAND00005,601,55.19,-119.95,3,3,4,6,120,5,30,120
ABRAND00006,351,55.25,-119.95,3,1,4,6,120,5,30,120
ABRAND00007,601,54.63,-119.95,3,3,4,6,120,5,30,120
ABRAND00008,601,55.28,-119.92,3,3,4,6,120,5,30,120
ABRAND00009,601,57.73,-119.92,3,3,4,6,120,5,30,120
ABRAND00010,601,55.12,-119.92,3,3,4,6,120,5,30,120
ABRAND00011,601,57.57,-119.91,3,3,4,6,120,5,30,120
ABRAND00012,601,54.75,-119.91,3,3,4,6,120,5,30,120
ABRAND00013,601,55.03,-119.91,3,3,4,6,120,5,30,120
ABRAND00014,601,54.94,-119.91,3,3,4,6,120,5,30,120
ABRAND00015,601,54.91,-119.91,3,3,4,6,120,5,30,120
ABRAND00016,601,57.3,-119.9,3,3,4,6,120,5,30,120
ABRAND00017,601,55.09,-119.9,3,3,4,6,120,5,30,120
ABRAND00018,601,55.04,-119.9,3,3,4,6,120,5,30,120
ABRAND00019,601,54.97,-119.89,3,3,4,6,120,5,30,120
ABRAND00020,601,55.03,-119.89,3,3,4,6,120,5,30,120
ABRAND00021,601,57.31,-119.89,3,1,4,6,120,5,30,120
ABRAND00022,311,55.33,-119.88,3,1,4,6,120,5,30,120
ABRAND00023,311,55.24,-119.87,3,1,4,6,120,5,30,120
ABRAND00024,601,54.87,-119.87,3,3,4,6,120,5,30,120
ABRAND00025,601,55.21,-119.87,3,3,4,6,120,5,30,120
ABRAND00026,601,55.07,-119.86,3,3,4,6,120,5,30,120
ABRAND00027,351,55.24,-119.86,3,1,4,6,120,5,30,120
ABRAND00028,601,57.69,-119.86,3,3,4,6,120,5,30,120
ABRAND00029,601,54.67,-119.85,3,3,4,6,120,5,30,120
ABRAND00030,601,54.68,-119.85,3,3,4,6,120,5,30,120
ABRAND00031,601,55.29,-119.83,3,3,4,6,120,5,30,120
ABRAND00032,601,55.04,-119.83,3,3,4,6,120,5,30,120
ABRAND00033,601,57.85,-119.83,3,3,4,6,120,5,30,120
ABRAND00034,601,55.27,-119.83,3,3,4,6,120,5,30,120
ABRAND00035,601,55.35,-119.82,3,3,4,6,120,5,30,120
ABRAND00036,601,54.89,-119.82,3,3,4,6,120,5,30,120
ABRAND00037,601,54.95,-119.82,3,3,4,6,120,5,30,120
ABRAND00038,601,55.06,-119.82,3,3,4,6,120,5,30,120
ABRAND00039,601,55,-119.79,3,3,4,6,120,5,30,120
ABRAND00040,601,55.03,-119.79,3,3,4,6,120,5,30,120
ABRAND00041,601,55.18,-119.78,3,3,4,6,120,5,30,120
ABRAND00042,601,54.86,-119.78,3,3,4,6,120,5,30,120
ABRAND00043,501,55.23,-119.77,3,1,4,6,120,5,30,120
ABRAND00044,601,55.12,-119.76,3,3,4,6,120,5,30,120
ABRAND00045,351,54.81,-119.75,3,1,4,6,120,5,30,120
ABRAND00046,601,56.03,-119.71,3,1,4,6,120,5,30,120
ABRAND00047,351,55.23,-119.71,3,1,4,6,120,5,30,120
ABRAND00048,311,55.26,-119.71,3,1,4,6,120,5,30,120
ABRAND00049,621,54.88,-119.71,3,3,4,6,120,5,30,120
ABRAND00050,351,55.11,-119.7,3,1,4,6,120,5,30,120
ABRAND00051,601,54.83,-119.7,3,3,4,6,120,5,30,120
ABRAND00052,601,55.11,-119.69,3,3,4,6,120,5,30,120
ABRAND00053,601,54.78,-119.69,3,3,4,6,120,5,30,120
ABRAND00054,601,55.13,-119.69,3,3,4,6,120,5,30,120
ABRAND00055,601,54.81,-119.68,3,3,4,6,120,5,30,120
ABRAND00056,601,54.91,-119.68,3,3,4,6,120,5,30,120
ABRAND00057,601,56.03,-119.68,3,1,4,6,120,5,30,120
ABRAND00058,601,55.27,-119.67,3,3,4,6,120,5,30,120
ABRAND00059,601,55.1,-119.66,3,3,4,6,120,5,30,120
ABRAND00060,601,56.12,-119.65,3,1,4,6,120,5,30,120
ABRAND00061,601,55.06,-119.64,3,3,4,6,120,5,30,120
ABRAND00062,601,55.13,-119.64,3,3,4,6,120,5,30,120
ABRAND00063,601,54.79,-119.63,3,3,4,6,120,5,30,120
ABRAND00064,601,54.71,-119.63,3,3,4,6,120,5,30,120
ABRAND00065,503,55.03,-119.62,3,1,4,6,120,5,30,120
ABRAND00066,601,54.94,-119.61,3,3,4,6,120,5,30,120
ABRAND00067,601,54.85,-119.61,3,3,4,6,120,5,30,120
ABRAND00068,601,57.4,-119.6,3,3,4,6,120,5,30,120
ABRAND00069,601,55.01,-119.6,3,3,4,6,120,5,30,120
ABRAND00070,601,55.14,-119.59,3,3,4,6,120,5,30,120
ABRAND00071,601,54.55,-119.58,3,3,4,6,120,5,30,120
ABRAND00072,601,54.84,-119.58,3,3,4,6,120,5,30,120
ABRAND00073,601,54.72,-119.58,3,3,4,6,120,5,30,120
ABRAND00074,601,55.13,-119.57,3,3,4,6,120,5,30,120
ABRAND00075,601,57.6,-119.57,3,3,4,6,120,5,30,120
ABRAND00076,362,55.15,-119.57,3,1,4,6,120,5,30,120
ABRAND00077,601,57.41,-119.56,3,3,4,6,120,5,30,120
ABRAND00078,601,54.98,-119.56,3,3,4,6,120,5,30,120
ABRAND00079,601,54.72,-119.56,3,3,4,6,120,5,30,120
ABRAND00080,601,54.85,-119.56,3,3,4,6,120,5,30,120
ABRAND00081,401,55.09,-119.56,3,3,4,6,120,5,30,120
ABRAND00082,601,55.14,-119.56,3,3,4,6,120,5,30,120
ABRAND00083,351,55.43,-119.55,3,1,4,6,120,5,30,120
ABRAND00084,601,55.08,-119.55,3,3,4,6,120,5,30,120
ABRAND00085,601,57.51,-119.55,3,1,4,6,120,5,30,120
ABRAND00086,601,54.86,-119.54,3,3,4,6,120,5,30,120
ABRAND00087,601,54.43,-119.53,3,3,4,6,120,5,30,120
ABRAND00088,601,54.55,-119.53,3,3,4,6,120,5,30,120
ABRAND00089,601,54.78,-119.52,3,3,4,6,120,5,30,120
ABRAND00090,601,55.08,-119.52,3,3,4,6,120,5,30,120
ABRAND00091,311,55.04,-119.51,3,1,4,6,120,5,30,120
ABRAND00092,601,54.74,-119.51,3,3,4,6,120,5,30,120
ABRAND00093,311,54.84,-119.51,3,1,4,6,120,5,30,120
ABRAND00094,601,54.65,-119.51,3,3,4,6,120,5,30,120
ABRAND00095,601,54.72,-119.5,3,3,4,6,120,5,30,120
ABRAND00096,601,55.35,-119.5,3,1,4,6,120,5,30,120
ABRAND00097,601,55.37,-119.5,3,3,4,6,120,5,30,120
ABRAND00098,601,54.94,-119.5,3,3,4,6,120,5,30,120
ABRAND00099,601,54.69,-119.47,3,3,4,6,120,5,30,120
ABRAND00100,601,55.23,-119.46,3,3,4,6,120,5,30,120
ABRAND00101,601,54.88,-119.44,3,3,4,6,120,5,30,120
ABRAND00102,601,57.45,-119.44,3,3,4,6,120,5,30,120
ABRAND00103,601,54.98,-119.44,3,3,4,6,120,5,30,120
ABRAND00104,601,54.58,-119.42,3,3,4,6,120,5,30,120
