mins_offsite_per_site
29.21666667
39.41666667
45.93333333
23.27380952
41.94444444
14.13095238
140.5
17.99166667
18
12.1969697
40.75
7.708333333
31.51666667
43.71666667
37.93333333
38.41666667
34.20833333
14.16025641
17.05555556
12.98484848
107.2916667
5.291666667
46.08333333
36.98809524
16.75
21.8125
77.61111111
